semaine,nb_articles,moyenne_glissante_4s
2025-08-07,2,2.0
2025-08-14,1,1.5
2025-08-21,4,2.33
2025-09-18,3,2.5
2025-09-25,4,3.0
2025-10-02,1,3.0
2025-10-09,1,2.25
2025-10-16,2,2.0
2025-10-23,1,1.25
2025-10-30,2,1.5
2025-11-13,9,3.5
2025-11-20,1,3.25
2025-11-27,1,3.25
2025-12-04,3,3.5
2025-12-11,2,1.75
2025-12-18,4,2.5
2025-12-25,2,2.75
2026-01-01,2,2.5
2026-01-08,7,3.75
2026-01-15,6,4.25
2026-01-22,12,6.75
2026-01-29,13,9.5
2026-02-05,40,17.75
2026-02-12,38,25.75
2026-02-19,34,31.25
2026-02-26,12,31.0
2026-03-05,20,26.0
2026-03-12,20,21.5
2026-03-19,29,20.25
2026-03-26,21,22.5
2026-04-02,28,24.5
2026-04-09,5,20.75
2026-04-23,1,13.75
2026-04-30,1,8.75
2026-05-07,2,2.25
2026-05-21,2,1.5
2026-05-28,6,2.75
2026-06-04,12,5.5
2026-06-11,46,16.5
2026-06-18,10,18.5
2026-06-25,28,24.0
2026-07-02,39,30.75
2026-07-09,41,29.5
2026-07-16,50,39.5
